Week,Date,Day,Content Pillar,Content Type,Property Name,Topic,Reel Title,Hook,CTA,Shooting Date,Status
10,2026-08-05,Wednesday,MARKETING,Property Tour,Kemang Eminence Resort,Infinity Pool Tour,"Kemang Eminence: Infinity Pool yang Bikin Gak Mau Pulang","Infinity pool-nya menghadap sunset... dan ini bukan hotel.","DM EMINENCE untuk info harga unit poolside.",2026-08-05,Scheduled
10,2026-08-05,Wednesday,ENTERTAINING,Property Lifestyle Content,-,A Day in Property Life,"A Day in My Life Sebagai Agen Properti","05.00 bangun. 06.00 survey lokasi. 08.00 shooting. 12.00 meeting client...","Penasaran sama dunia agen properti? Follow journey kita!",2026-08-05,Scheduled
10,2026-08-06,Thursday,MARKETING,Property Tour,The Ayase,Zen Garden Feature,"The Ayase: Zen Garden yang Bikin Meditasi Tiap Pagi","Zen garden di depan rumah... meditasi gak perlu ke retreat.","Komen ZEN untuk info The Ayase.",2026-08-06,Scheduled
10,2026-08-06,Thursday,MARKETING,House Walkthrough,Lake Home Serpong,Lakeside Unit Tour,"Lake Home: Full Tour Unit yang Langsung Menghadap Danau","Unit lakeside ini langsung view danau dari ruang tamu.","DM LAKE untuk info unit lakeside tersisa.",2026-08-06,Scheduled
10,2026-08-07,Friday,EDUCATION,Real Estate Trends,-,Prediksi Harga 2027,"Prediksi Harga Properti 2027: Naik atau Turun?","Data menunjukkan tren yang jelas untuk 2027... ini prediksinya.","Follow Estetika Property untuk insight pasar properti!",2026-08-07,Scheduled
10,2026-08-07,Friday,MARKETING,Developer Review,Kalimaya Park Pamulang,Developer Track Record,"Kalimaya Park: Track Record Developer yang Bikin Tenang","Developer ini sudah 15 tahun dan belum pernah telat serah terima.","Komen KALIMAYA untuk info dan promo.",2026-08-07,Scheduled

11,2026-08-10,Monday,MARKETING,Property Tour,New Permata Residence,Ready Stock Update,"New Permata: 5 Unit Ready Stock Terakhir Bulan Ini","Tinggal 5 unit ready stock... habis ini harus nunggu phase berikutnya.","Komen READY untuk info 5 unit terakhir!",2026-08-10,Scheduled
11,2026-08-10,Monday,MARKETING,Cluster Review,Svacasa Sawangan,Eco Cluster Review,"Svacasa Sawangan: Review Lengkap Cluster Eco-Friendly","Cluster ini hemat air 40% dan listrik 30%... tagihan bulananmu beda jauh.","DM SVACASA untuk tour eco-features.",2026-08-10,Scheduled
11,2026-08-11,Tuesday,MARKETING,Property Tour,Grand Duta City,Premium Corner Unit,"Grand Duta City: Unit Hook yang Jarang Ada dan Paling Dicari","Unit hook di Grand Duta tinggal 3... dan ini alasan kenapa cepat habis.","Komen HOOK untuk info unit hook tersisa.",2026-08-11,Scheduled
11,2026-08-11,Tuesday,EDUCATION,Property Taxes,-,BPHTB dan Biaya Tersembunyi,"Biaya Tersembunyi Beli Rumah yang Developer Gak Kasih Tahu","Harga rumah 700 juta tapi total keluar bisa 800 juta lebih... ini rinciannya.","Simpan breakdown ini sebelum kamu deal!",2026-08-11,Scheduled
11,2026-08-12,Wednesday,MARKETING,Property Tour,Nuansa Indah Village,Family Living Focus,"Nuansa Indah: Rumah yang Didesain Khusus untuk Keluarga Muda","Layout-nya didesain biar anak main aman dan orang tua tetap tenang.","Komen NUANSA untuk info tipe family.",2026-08-12,Scheduled
11,2026-08-12,Wednesday,ENTERTAINING,Relatable Property Memes,-,Meme KPR,"Stages of KPR: Dari Semangat Sampai Nangis di Kasir","Stage 1: Semangat cari rumah. Stage 5: Nangis lihat simulasi cicilan.","Relate? Tag yang lagi proses KPR!",2026-08-12,Scheduled
11,2026-08-13,Thursday,MARKETING,Property Tour,Telaga Kahuripan,Township Tour,"Telaga Kahuripan: Full Township Tour 30 Menit","Township ini seluas 500 hektar... kami tour-in semuanya dalam 30 menit.","DM TELAGA untuk jadwal tur lengkap.",2026-08-13,Scheduled
11,2026-08-13,Thursday,MARKETING,Facility Showcase,The Philosophia,Clubhouse Tour,"The Philosophia: Tour Clubhouse yang Lebih Keren dari Gym Mahal","Clubhouse di sini lebih lengkap dari gym langganan kamu.","Komen CLUB untuk lihat fasilitas lengkap.",2026-08-13,Scheduled
11,2026-08-14,Friday,EDUCATION,First Home Buyer Guide,-,Langkah Beli Rumah Pertama,"Step by Step Beli Rumah Pertama dari NOL","Dari gak punya tabungan sampai terima kunci... ini roadmapnya.","Simpan roadmap ini! DM untuk konsultasi gratis.",2026-08-14,Scheduled
11,2026-08-14,Friday,MARKETING,Property Tour,Candi Aisyah at Garden,Garden Concept Detail,"Candi Aisyah: Detail Garden Concept yang Bikin Beda dari Cluster Lain","Garden concept di sini bukan cuma tanaman di depan... tapi full landscape.","Komen GARDEN untuk info promo Agustus.",2026-08-14,Scheduled

12,2026-08-17,Monday,MARKETING,Property Tour,Premiere Promenade,Best Seller Unit,"Premiere Promenade: Tipe Best Seller yang Selalu Sold Out","Tipe ini selalu sold out di setiap phase... ini alasannya.","Komen BESTSELLER untuk info availability.",2026-08-17,Scheduled
12,2026-08-17,Monday,MARKETING,Area Review,Jabodetabek Overview,Top 5 Area Investasi,"Top 5 Area Investasi Properti Jabodetabek 2026","Dari 100+ area kami pilih 5 yang paling potensial... nomor 1 pasti surprise.","Follow Estetika Property untuk insight investasi!",2026-08-17,Scheduled
12,2026-08-18,Tuesday,MARKETING,Property Tour,Morizono at Garden Sawangan,Seasonal Update,"Morizono: Taman Jepangnya Makin Cantik di Musim Hujan","Musim hujan bikin taman Jepang Morizono makin hidup dan hijau.","DM MORIZONO untuk jadwal visit.",2026-08-18,Scheduled
12,2026-08-18,Tuesday,EDUCATION,Property Investment,-,Strategi Beli Rumah Kedua,"Strategi Beli Rumah Kedua untuk Investasi","Rumah pertama untuk tinggal rumah kedua untuk cuan... ini strateginya.","Simpan strategi ini! DM untuk konsultasi investasi.",2026-08-18,Scheduled
12,2026-08-19,Wednesday,MARKETING,Property Comparison,"Paradise Resort City vs Kemang Eminence Resort",Resort Living Battle,"Paradise Resort vs Kemang Eminence: Battle Resort Living!","Dua konsep resort tapi beda karakter... mana yang lebih cocok buat kamu?","Komen pilihan kamu! DM untuk detail perbandingan.",2026-08-19,Scheduled
12,2026-08-19,Wednesday,ENTERTAINING,Property Quiz,-,Property IQ Test,"Test Property IQ Kamu: 5 Pertanyaan Ini Buktikan!","Kamu pikir tahu banyak soal properti? Coba jawab 5 pertanyaan ini!","Berapa skor kamu? Komen di bawah! Follow untuk quiz lainnya.",2026-08-19,Scheduled
12,2026-08-20,Thursday,MARKETING,Property Tour,Hcity Sawangan,Smart Features Demo,"Hcity: Demo Fitur Smart Home yang Bikin Hidup Lebih Gampang","Matiin lampu dari kasur buka pintu dari kantor... semua dari HP.","Komen SMART untuk demo smart home.",2026-08-20,Scheduled
12,2026-08-20,Thursday,MARKETING,Developer Review,Aura Home,Developer Vision,"Aura Home: Visi Developer untuk Hunian Masa Depan","Developer Aura punya visi 10 tahun ke depan untuk kawasan ini.","DM AURA untuk info master plan.",2026-08-20,Scheduled
12,2026-08-21,Friday,EDUCATION,Property Checklist,-,Year End Property Review,"Checklist Evaluasi Properti di Akhir Semester","Udah setengah tahun... saatnya evaluasi rencana beli properti kamu.","Simpan checklist ini! DM untuk review rencana kamu.",2026-08-21,Scheduled
12,2026-08-21,Friday,MARKETING,Weekly Developer Recap,-,Rekap Developer Terbaik,"Rekap 12 Minggu: Developer dan Properti Terbaik Pilihan Kami","Dari 30+ properti yang kami review... ini TOP 5 pilihan tim Estetika.","Komen yang mana favoritmu! DM untuk konsultasi gratis.",2026-08-21,Scheduled
